Category,Grade,Question,,,
Careers,9,Personal email address,,,
Careers,9,Position for which you are applying,,,
Careers,9,Have you ever been employed here before?,,,
Careers,9,Are you requesting full-time or part-time employment?,,,
Careers,9,How many hours are you available/willing to work? ,,,
Careers,9,What date are you available to start working?,,,
Careers,9,Employment History: Are you currently or have you been employed in the past?,,,
Careers,9,Previous Employer 1 Start Date,,,
Careers,9,Previous Employer 1 End Date,,,
Careers,9,Do you have any other employment you would like to list?,,,
Careers,9,Employer 2 Start Date,,,
Careers,9,Do you have any other employment you would like to list?,,,
Careers,9,Employer 3 Start Date,,,
Careers,9,HIgh School Education,,,
Careers,9,Planned High School Graduation Date,,,
Careers,9,Do you have any other educational experiences?,,,
Careers,9,School/Program Information,,,
Careers,9,Date Program Completed or Expected Completion Date (if in progress),,,
Careers,9,"List any special job-related skills, experiences, or certifications.",,,
Careers,5,"Based on your results, what is your highest/top rated Holland Code theme?",,,
Careers,5,"Based on your results, what is your 2nd highest rated Holland Code theme?",,,
Careers,5,"Based on your results, what is your 3rd highest rated Holland Code theme?",,,
Careers,5,Were you surprised by your results?   Why or why not?  Please explain.,,,
Careers,5,List one career match for each of the 3 Holland traits from your Career Key results.,,,
Careers,5,"Select one of the careers you wrote in Question 5 - based on the Knowledge and Skills"" required"," what is something that interests you about this career.""",,
Careers,5,"What is one interesting Task or Activity"" that someone in this job would perform? Why is it interesting to you?""",,,
Careers,5,"Based on the Knowledge and Skills"""," list at least 3 classes you should take to prepare you for this career.""",,
Careers,5,What is the average wage in Oregon for this career?,,,
Careers,6,"Based on your results, what is your highest/top rated Holland Code theme?",,,
Careers,6,"Based on your results, what is your 2nd highest rated Holland Code theme?",,,
Careers,6,"Based on your results, what is your 3rd highest rated Holland Code theme?",,,
Careers,6,Were you surprised by your results?   Why or why not?  Please explain.,,,
Careers,6,List one career match for each of the 3 Holland traits from your Career Key results.,,,
Careers,6,"Select one of the careers you wrote in Question 5 - based on the Knowledge and Skills"" required"," what is something that interests you about this career.""",,
Careers,6,"What is one interesting Task or Activity"" that someone in this job would perform? Why is it interesting to you?""",,,
Careers,6,"Based on the Knowledge and Skills"""," list at least 3 classes you should take to prepare you for this career.""",,
Careers,6,What is the average wage in Oregon for this career?,,,
Careers,7,"Based on your results, what is your highest/top rated Holland Code theme?",,,
Careers,7,"Based on your results, what is your 2nd highest rated Holland Code theme?",,,
Careers,7,"Based on your results, what is your 3rd highest rated Holland Code theme?",,,
Careers,7,Were you surprised by your results?   Why or why not?  Please explain.,,,
Careers,7,List one career match for each of the 3 Holland traits from your Career Key results.,,,
Careers,7,"Select one of the careers you wrote in Question 5 - based on the Knowledge and Skills"" required"," what is something that interests you about this career.""",,
Careers,7,"What is one interesting Task or Activity"" that someone in this job would perform? Why is it interesting to you?""",,,
Careers,7,"Based on the Knowledge and Skills"""," list at least 3 classes you should take to prepare you for this career.""",,
Careers,7,What is the average wage in Oregon for this career?,,,
Careers,8,"Based on your results, what is your highest/top rated Holland Code theme?",,,
Careers,8,"Based on your results, what is your 2nd highest rated Holland Code theme?",,,
Careers,8,"Based on your results, what is your 3rd highest rated Holland Code theme?",,,
Careers,8,Were you surprised by your results?   Why or why not?  Please explain.,,,
Careers,8,List one career match for each of the 3 Holland traits from your Career Key results.,,,
Careers,8,"Select one of the careers you wrote in Question 5 - based on the Knowledge and Skills"" required"," what is something that interests you about this career.""",,
Careers,8,"What is one interesting Task or Activity"" that someone in this job would perform? Why is it interesting to you?""",,,
Careers,8,"Based on the Knowledge and Skills"""," list at least 3 classes you should take to prepare you for this career.""",,
Careers,8,What is the average wage in Oregon for this career?,,,
Careers,5,"Based on my results, my personality type is:",,,
Careers,5,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,5,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,5,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,5,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,5,How well do the results of the Personality Assessment represent you?,,,
Careers,5,Explain why you think the results do or do not represent you.,,,
Careers,5,List two (2) of your strengths based on your personality type.,,,
Careers,5,List two (2) of your challenges.,,,
Careers,5,"List three (3) College Satisfiers"" based on your personality type.""",,,
Careers,6,"Based on my results, my personality type is:",,,
Careers,6,Give three (3) examples of how you are more of an extrovert (E) or an introvert (I).,,,
Careers,6,Give three (3) examples of how you are more sensing (S) or intuitive (N).,,,
Careers,6,Give three (3) examples of how you are more a thinker (T) or a feeler (F).,,,
Careers,6,Give three (3) examples of how you are more judging (J) or perceiving (P).,,,
Careers,6,How well do the results of the Personality Assessment represent you?,,,
Careers,6,Explain why you think the results do or do not represent you.,,,
Careers,6,List two (2) of your strengths based on your personality type.,,,
